QKEY,INTERVIEW_START_W116,INTERVIEW_END_W116,DEVICE_TYPE_W116,LANG_W116,FORM_W116,XCITIZEN_W116,XW78NONRESP_W116,XW91NONRESP_W116,SATIS_W116,POL1JB_W116,POL1JBSTR_W116,INSTN_CHR_W116,INSTN_CLGS_W116,INSTN_K12_W116,INSTN_LBRUN_W116,INSTN_TECHCMP_W116,INSTN_SMBUS_W116,INSTN_BNKS_W116,INSTN_MIL_W116,INSTN_LGECRP_W116,MIDCMPGN_W116,MATTERSCONG_W116,CONG_W116,CONGA_W116,PLAN1_W116,HOWPLANVOTE_W116,HOWVOTED_W116,PLANABSENT_W116,FIRSTVOTE22_W116,POL10_W116,REPCONGEX_W116,DEMCONGEX_W116,ISSUECONG_ABTN_W116,ISSUECONG_ECON_W116,ISSUECONG_IMM_W116,ISSUECONG_HEALTH_W116,ISSUECONG_RCE_W116,ISSUECONG_TINVEST2_W116,ISSUECONG_EDUC_W116,ISSUECONG_ENG_W116,ISSUECONG_BINVEST1_W116,ISSUECONG_GUN_W116,ISSUECONG_SCOTUS_W116,ISSUECONG_GOV_W116,ISSUECONG_DEMO_W116,ISSUECONG_CLIM_W116,ISSUECONG_BINVEST2_W116,ISSUECONG_FP_W116,ISSUECONG_COV_W116,ISSUECONG_CRIM_W116,ISSUECONG_VTPOL_W116,ISSUECONG_TINVEST1_W116,DRLEAD_W116,WOMENOBS_W116,OPENIDEN_W116,GOODEVIL_W116,POORASSIST_W116,SUPERPWR_W116,WHADVANT_W116,THERMTRUMP_W116,THERMTRUMP_REFUSED_W116,THERMBIDEN_W116,THERMBIDEN_REFUSED_W116,VTADMIN_COM_W116,VTADMIN_US_W116,VOTETRAITS_a_W116,VOTETRAITS_b_W116,VOTETRAITS_c_W116,VOTETRAITS_d_W116,VTCOUNT_INP_W116,VTCOUNT_ABS_W116,VTEASY_W116,CONCEDECONG_W116,ECON1_W116,ECON1B_W116,PERSFNC_W116,PERSFNCB_W116,ECONCONC_PRICE_W116,ECONCONC_UNEM_W116,ECONCONC_LAB_W116,ECONCONC_ENG2_W116,ECONCONC_SHTG_W116,ECONCONC_REAL_W116,ECONCONC_STCK_W116,ALLIES_W116,ISLMVIOL_W116,REGULATE_W116,WAGEGAP_a_W116,WAGEGAP_b_W116,WAGEGAP_c_W116,VTPPL1_W116,VTPPL2_SUM_W116,ELRULE_FAIR_W116,ELRULE_EASE_W116,ELRULE_PTY_W116,CANDHOUKN_W116,CANDHOUSAT_W116,PREDELEC_a_W116,PREDELEC_b_W116,GAYMARR2_W116,MARIJUANA3_W116,EMPLSIT_W116,BOSS_W116,PRESSURESELF_a_W116,PRESSURESELF_b_W116,PRESSURESELF_c_W116,JAN6ATTN_W116,JAN6CMTHEAR_W116,JAN6CONFCM_W116,JAN6_DTRESP_W116,CHINA_RIGHTS_W116,CHINA_ECONCOMP_W116,CHINA_MILPOWER_W116,CHINA_TAIWAN_W116,CHINA_RUSSIA_W116,CHINA_XI_W116,VISITS2_W116,REG_W116,PLANREG_W116,VOTE_MOTIV_W116,HORSE_W116,ERNLAB_CPS_W112,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_VOTED2020,F_VOTEGEN2020,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W116
100363,10/11/2022 19:14:45,10/11/2022 19:24:29,2,1,2,1,2,2,2,1,2,1,2,1,2, , , ,1,2,3,2,4,4,1,2, , ,2,3,5,5,1,1,2,2,2,2, , , ,2,2,2,1,2,4, , , , , ,3,1,1,2,1,1,3,10, ,70, ,1,1, , , , , , ,1,1,3,1,3,1,1,3,1,1,1,1,2,1,2,1,3,2,1, ,1,1, , ,4,3,2,2,1,2,2,2,2,3,2,3,3,2,1,2,1,1,2,1,2,1,1, ,2,4,2,1,1,2,2,2,2,1,6,2, ,1,1,1,1,1,1,2,2,2,4,2, ,2,3,1,2,9,3,2,1,3,0.674073017561735
100637,10/12/2022 10:36:37,10/12/2022 10:47:37,1,1,1,1,2,2,2,2,1,1,2,99,1,2,1,2, , ,2,1,1, ,1,2, , ,2,2,4,2,2,1,1, , , ,1,3,1, , , , , , ,1,4,1,2,4,1,1,2,1,2,1,3,43, ,0, ,1,3,1,1,2,1,4,4, ,2,4,2,3,2,1,1,3,1,1,3,3,2,1,2,1,2,2,1, , ,3,2,2,3,2,1,4,1,3, , , , ,1,1,4,2,2,1,1,2,1,1,2,1, ,1,1,2,1,3,5,3,4,2,2,4,2, ,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,5,2,3,2,2,0.9791392511779765
101437,10/11/2022 23:05:48,10/11/2022 23:24:47,1,1,2,1,2,2,2,2,1,1,2,2,2, , , ,2,1,1,1,3, ,1,2, , ,2,2,3,5,1,1,1,3,4,4, , , ,1,1,1,1,4,1, , , , , ,3,1,1,1,2,1,4,100, ,0, ,1,3, , , , , , ,1,1,4,2,3,2,1,2,1,1,1,1,1,2,1,2,1,2,2, ,2,1, , ,2,2,1,1,4,1,4, , , , ,1,1,4,3,1,1,1,1,3,3,1,1, ,1,3,2,2,2,4,3,3,2,2,4,2, ,1,1,1,1,1,3,1,1,1,2,1, ,1,1,1,1,1,1,2,2,1,1.0038282289167364
101493,10/11/2022 16:08:14,10/12/2022 02:11:40,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2, , ,1,1,1, ,1,1, , ,2,2,3,2,2,1,1, , , ,3,1,1, , , , , , ,1,1,1,2,4,1,1,2,1,3,1,2,100, ,0, ,3,3,1,1,1,1,1,4, ,2,3,2,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2, , ,1,3,1,4,1,2,4,1,5, , , , ,1,1,4,3,99,1,99,3,2,99,1,1, ,1,1,1,1,4,9,3,3,1,2,3,1,1,1,1,3,1,1,1,10, ,3,6,1, ,1,1,1,1,7,2,2,2,2,0.22565964583915757
102198,10/12/2022 20:41:45,10/12/2022 20:56:58,1,1,2,1,2,1,2,2,1,1,2,1,2, , , ,2,2,1,1,1, ,1,2, , ,2,2,4,4,1,1,3,2,2,3, , , ,2,1,1,1,2,3, , , , , ,3,1,1,2,2,1,2,47, ,14, ,2,3, , , , , , ,2,1,3,2,3,3,2,3,4,2,2,2,2,1,1,2,1,1,3, ,2,1, , ,2,4,1,1,3,2,2,2,3,1,2,3,2,3,3,1,2,1,1,1,2,1,3,1,1, ,2,1,1,2,2,1,2,1,5,2, ,1,1,1,1,1,6,1,1,1,1,1, ,1,1,1,1,8,2,1,1,2,1.1844977921160234
103060,10/12/2022 22:04:54,10/12/2022 22:38:31,1,1,2,1,2,2,2,1,2,2,1,2,1, , , ,2,2,1,1,2, ,1,3, ,3,2,1,2,5,1,1,1,1,1,2, , , ,1,1,2,1,1,4, , , , , ,3,2,1,1,1,2,1,0, ,85, ,1,1, , , , , , ,3,1,3,3,2,3,1,2,1,1,2,1,2,1,2,1,3,3,1, ,2,2, , ,3,2,2,2,1,1,5, , , , ,2,1,1,1,1,1,1,1,1,1,1,1, ,1,2,2,1,3,5,2,4,2,2,4,2, ,1,1,1,1,1,1,12, ,3,6,2, ,2,4,1,2,99,4,2,2,99,0.750837509323313
103379,10/13/2022 18:00:41,10/13/2022 18:31:01,1,1,2,1,2,2,2,2,1,1,2,2,2, , , ,2,2,1,1,1, ,1,2, , ,2,2,3,5,3,1,1,2,4,4, , , ,1,1,1,1,4,1, , , , , ,1,1,2,1,2,1,4,100, ,0, ,3,3, , , , , , ,1,1,4,2,2,2,1,4,2,1,3,2,2,2,1,2,1,1,2, ,2,1, , ,1,2,1,1,4,2,2,1,2,1,2,1,1,4,3,1,2,1,1,1,1,2,1, ,1,1,2,1,3,5,2,4,1,2,3,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,1,9,2,5,2,3,0.9505919783938214
104210,10/11/2022 15:34:54,10/15/2022 13:26:18,2,1,2,1,2,1,2,1,1,2,1,1,1, , , ,2,2,2,1,2, ,1,2, , ,2,3,5,2,1,1,3,1,2,1, , , ,2,1,4,1,1,4, , , , , ,2,2,1,2,1,2,2,0, ,75, ,1,2, , , , , , ,1,1,3,3,4,3,1,1,3,1,1,1,4,1,1,1,1,2,1, ,2,1, , ,1,1,1,2,1,1,1,3,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1, ,1,2,2,1,1,2,1,2,2,3,2,2, ,1,1,1,1,1,2,12, ,3,6,4,2,2,4,1,2,2,5,2,2,1,0.7249173581818199
104368,10/12/2022 08:33:47,10/12/2022 09:29:50,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2, , ,2,1,1, ,1,3, ,3,2,3,3,3,1,1,1, , , ,1,1,2, , , , , , ,1,2,1,1,3,1,2,1,2,3,1,2,30, ,30, ,1,1,1,1,1,1,1,1, ,2,1,3,2,3,2,4,2,1,3,2,3,1,2,1,1,2,1,1, , ,3,3,2,1,2,2,3,2,5, , , , ,3,2,2,2,1,1,1,1,1,2,1,1, ,2,1,2,1,3,7,2,4,1,3,2,2, ,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,2,1,1,1.0105600757075466
104727,10/11/2022 21:15:38,10/11/2022 21:26:59,1,1,2,1,2,2,2,2,1,1,1,1,2, , , ,1,1,2,1,1, ,1,2, , ,2,2,1,3,3,1,1,2,3,4, , , ,1,3,2,1,2,3, , , , , ,1,1,1,1,2,2,4,100, ,0, ,1,3, , , , , , ,2,1,3,1,2,1,1,2,2,1,2,1,2,1,2,2,3,2,2, ,2,1, , ,1,1,1,1,1,1,1,2,2,2,2,1,3,4,3,3,2,2,2,3,3,2,1, ,1,1,2,2,2,3,3,3,1,3,2,2, ,1,1,1,1,1,1,12, ,3,6,1, ,1,1,1,1,99,2,2,2,99,0.9410737202601868
